Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C18, C20, C24, C25, C27, C3, C30, C31, C32, C33, C34, C4",0603,15,0.1uF,C14663
"C13, C28",0603,2,1uF,C15849
"C14, C15, C16, C17, C23, C5, C6, C7",0603,8,22uF,C2762594
"C19, C21",0603,2,4.7uF,C19666
"C22, C26, C8, C9",0603,4,10uF,C70225
C29,CP_Elec_8x10,1,470uF,C165531
"D3, D4, D5, D6",0603,4,LED_Small,C2286
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_01x02_Pin,C98732
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Pin,C157928
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"L2, L3",L_Taiyo-Yuden_NR-40xx,2,2.2uH,C28642347
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C908265,C908265
"Q2, Q3",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,S8050_C2146,C2146
R10,0603,1,3k,C4211
"R11, R7",0603,2,22k,C31850
R12,0603,1,47k,C25819
"R13, R14, R21, R22, R23",0603,5,1k,C21190
"R15, R16, R2, R6",0603,4,0.1k,C22775
"R17, R18, R19, R20",0603,4,10K,C25804
"R3, R4, R9",0603,3,5.1k,C23186
R5,0603,1,62k,C23221
R8,0603,1,0.5,C45312
SW1,SW_SPDT_PCM12,1,SW_SPST,C221841
"SW3, SW4",SW_SPST_PTS645Sx43SMTR92,2,SW_Push,C2837531
TH2,0603,1,10k,C51597
U1,VQFN-24_L4.0-W4.0-P0.50-BL-EP2.5,1,IP2326,C2832094
U2,ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701343
U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,1,SY8205FCC,C111875
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,C969151
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,HY2120CB,C116509
