Designator,Mid X,Mid Y,Rotation,Layer
C10,168.923,-82.55,270.0,top
C11,168.923,-79.235,270.0,top
C12,186.436,-85.344,0.0,top
C13,190.246,-93.69,270.0,top
C14,193.2432,-93.7006,90.0,top
C15,188.722,-78.108,180.0,top
C16,188.709,-76.584,180.0,top
C17,188.722,-75.06,180.0,top
C18,215.646,-104.267,90.0,top
C19,214.122,-104.28,90.0,top
C20,211.201,-103.4796,0.0,top
C21,211.5312,-101.3968,0.0,top
C22,197.394,-75.198,0.0,top
C23,197.915,-71.388,90.0,top
C24,161.531,-92.176,180.0,top
C25,162.56,-86.093,90.0,top
C26,230.251,-66.535,270.0,top
C27,228.473,-66.535,270.0,top
C28,226.9236,-69.2658,0.0,top
C29,186.0804,-64.9986,180.0,top
C3,175.26,-72.39,0.0,top
C30,151.594,-58.801,0.0,top
C31,159.2964,-58.7756,0.0,top
C32,166.8718,-58.7248,0.0,top
C33,174.4726,-58.801,0.0,top
C34,182.131,-58.801,0.0,top
C4,195.326,-84.315,270.0,top
C5,167.145,-74.93,180.0,top
C6,167.145,-73.279,180.0,top
C7,167.145,-76.581,180.0,top
C8,171.463,-67.382,90.0,top
C9,176.962,-70.117,90.0,top
D3,175.527,-81.2345,90.0,top
D4,205.5875,-85.725,0.0,top
D5,226.2125,-93.345,0.0,top
D6,226.2125,-95.25,0.0,top
J1,156.567,-70.466,90.0,top
J2,151.892,-84.542,270.0,top
J3,147.574,-104.648,0.0,top
L2,171.463,-71.374,90.0,top
L3,192.278,-81.41,270.0,top
Q1,168.402,-92.43,90.0,top
Q2,221.742,-64.77,0.0,top
Q3,215.407,-93.487,180.0,top
R10,188.722,-93.753,270.0,top
R11,217.932,-104.14,0.0,top
R12,220.98,-104.14,0.0,top
R13,220.98,-102.616,180.0,top
R14,168.402,-88.874,0.0,top
R15,160.059,-89.771,180.0,top
R16,159.957,-88.112,0.0,top
R17,218.567,-61.976,180.0,top
R18,218.201,-95.011,270.0,top
R19,211.866,-93.487,0.0,top
R2,175.527,-84.5995,90.0,top
R20,225.298,-65.024,0.0,top
R21,208.915,-85.725,0.0,top
R22,222.695,-93.472,180.0,top
R23,222.695,-95.123,180.0,top
R3,149.321,-97.555,90.0,top
R4,146.273,-97.618,90.0,top
R5,177.622,-75.672,180.0,top
R6,166.383,-81.013,0.0,top
R7,186.182,-90.932,0.0,top
R8,178.295,-72.39,180.0,top
R9,178.994,-70.104,90.0,top
SW1,186.654,-105.57,0.0,top
SW3,199.982,-94.96,180.0,top
SW4,200.068,-61.178,0.0,top
TH2,173.749,-81.2345,270.0,top
U1,173.159,-76.434,0.0,top
U2,224.77,-80.0,270.0,top
U3,190.886,-88.162,90.0,top
U4,216.55,-99.202,90.0,top
U5,204.138,-72.912,0.0,top
U6,164.504,-89.771,180.0,top
